group_id,nb_techniques,name,aliases
intrusion-set--df71bb3b-813c-45eb-a8bc-f2a419837411,16,Molerats,"Molerats, Operation Molerats, Gaza Cybergang"
intrusion-set--129f2f77-1ab2-4c35-bd5e-21260cee92af,15,EXOTIC LILY,EXOTIC LILY
intrusion-set--9735c036-8ebe-47e9-9c77-b0ae656dab93,15,BackdoorDiplomacy,BackdoorDiplomacy
intrusion-set--c5b81590-6814-4d2a-8baa-15c4b6c7f960,15,Tonto Team,"Tonto Team, Earth Akhlut, BRONZE HUNTLEY, CactusPete, Karma Panda"
intrusion-set--1c3dcf91-b859-4aae-a09c-ae26dc8b6390,14,Salt Typhoon,Salt Typhoon
intrusion-set--2a158b0a-7ef8-43cb-9985-bf34d1e12050,14,Naikon,Naikon
intrusion-set--6fe8a2a1-a1b0-4af8-953d-4babd329f8f8,14,BlackTech,"BlackTech, Palmerworm"
intrusion-set--94873029-f950-4268-9cfd-5032e15cb182,14,TA551,"TA551, GOLD CABIN, Shathak"
intrusion-set--e44e0985-bc65-4a8f-b578-211c858128e3,14,Transparent Tribe,"Transparent Tribe, COPPER FIELDSTONE, APT36, Mythic Leopard, ProjectM"
intrusion-set--90784c1e-4aba-40eb-9adf-7556235e6384,13,Silent Librarian,"Silent Librarian, TA407, COBALT DICKENS"
intrusion-set--0d4ac089-ced4-4cc4-a989-174d08e6d030,12,Mustard Tempest,"Mustard Tempest, DEV-0206, TA569, GOLD PRELUDE, UNC1543"
intrusion-set--16ade1aa-0ea1-4bb7-88cc-9079df2ae756,12,admin@338,admin@338
intrusion-set--38fd6a28-3353-4f2b-bb2b-459fecd5c648,12,APT18,"APT18, TG-0416, Dynamite Panda, Threat Group-0416"
intrusion-set--39d6890e-7f23-4474-b8ef-e7b0343c5fc8,12,Andariel,"Andariel, Silent Chollima, PLUTONIUM, Onyx Sleet"
intrusion-set--4c4a7846-45d5-4761-8eea-725fa989914c,12,Moses Staff,"Moses Staff, DEV-0500, Marigold Sandstorm"
intrusion-set--8a831aaa-f3e0-47a3-bed8-a9ced744dd12,12,Dark Caracal,Dark Caracal
