group_name,technique_id,attack_id,technique,tactic,platforms
Lazarus Group,attack-pattern--707399d6-ab3e-4963-9315-d9d3818cd6a0,T1016,System Network Configuration Discovery,discovery,"ESXi, Linux, macOS, Network Devices, Windows"
Lazarus Group,attack-pattern--19401639-28d0-4c3c-adcc-bc2ba22f6421,T1588.004,Digital Certificates,resource-development,PRE
APT28,attack-pattern--ae676644-d2d2-41b7-af7e-9bed1b55898c,T1039,Data from Network Shared Drive,collection,"Linux, macOS, Windows"
APT41,attack-pattern--1b7b1806-7746-41a1-a35d-e48dae25ddba,T1542.003,Bootkit,stealth,"Linux, Windows"
APT41,attack-pattern--1b7b1806-7746-41a1-a35d-e48dae25ddba,T1542.003,Bootkit,persistence,"Linux, Windows"
APT41,attack-pattern--75b9a4d2-d4e2-4ca1-9aab-1badd9e05fd0,T1685.005,Clear Windows Event Logs,defense-impairment,Windows
APT28,attack-pattern--0259baeb-9f63-4c69-bf10-eb038c390688,T1113,Screen Capture,collection,"Linux, macOS, Windows"
APT41,attack-pattern--25659dd6-ea12-45c4-97e6-381e3e4b593e,T1087.001,Local Account,discovery,"ESXi, Linux, macOS, Windows"
APT41,attack-pattern--df8b2a25-8bdf-4856-953c-a04372b1c161,T1071.001,Web Protocols,command-and-control,"ESXi, Linux, macOS, Network Devices, Windows"
APT28,attack-pattern--09c4c11e-4fa1-4f8c-8dad-3cf8e69ad119,T1110.001,Password Guessing,credential-access,"Containers, ESXi, IaaS, Identity Provider, Linux, macOS, Network Devices, Office Suite, SaaS, Windows"
Lazarus Group,attack-pattern--24bfaeba-cb0d-4525-b3dc-507c77ecec41,T1573.001,Symmetric Cryptography,command-and-control,"ESXi, Linux, macOS, Network Devices, Windows"
Lazarus Group,attack-pattern--354a7f88-63fb-41b5-a801-ce3b377b36f1,T1082,System Information Discovery,discovery,"ESXi, IaaS, Linux, macOS, Network Devices, Windows"
APT41,attack-pattern--3489cfc5-640f-4bb3-a103-9137b97de79f,T1135,Network Share Discovery,discovery,"Linux, macOS, Windows"
Lazarus Group,attack-pattern--03d7999c-1f4c-42cc-8373-e7690d318104,T1033,System Owner/User Discovery,discovery,"Linux, macOS, Network Devices, Windows"
APT41,attack-pattern--b8017880-4b1e-42de-ad10-ae7ac6705166,T1599,Network Boundary Bridging,defense-impairment,Network Devices
Lazarus Group,attack-pattern--4933e63b-9b77-476e-ab29-761bc5b7d15a,T1620,Reflective Code Loading,stealth,"Linux, macOS, Windows"
APT28,attack-pattern--88d31120-5bc7-4ce3-a9c0-7cf147be8e54,T1583.006,Web Services,resource-development,PRE
APT28,attack-pattern--8f4a33ec-8b1f-4b80-a2f6-642b2e479580,T1057,Process Discovery,discovery,"ESXi, Linux, macOS, Network Devices, Windows"
APT28,attack-pattern--d742a578-d70e-4d0e-96a6-02a9c30204e6,T1189,Drive-by Compromise,initial-access,"Identity Provider, Linux, macOS, Windows"
Lazarus Group,attack-pattern--92d7da27-2d91-488e-a00c-059dc162766d,T1041,Exfiltration Over C2 Channel,exfiltration,"ESXi, Linux, macOS, Windows"
APT41,attack-pattern--f244b8dd-af6c-4391-a497-fc03627ce995,T1480.001,Environmental Keying,stealth,"Linux, Windows, macOS"
APT41,attack-pattern--5d2be8b9-d24c-4e98-83bf-2f5f79477163,T1484.001,Group Policy Modification,defense-impairment,Windows
APT41,attack-pattern--5d2be8b9-d24c-4e98-83bf-2f5f79477163,T1484.001,Group Policy Modification,privilege-escalation,Windows
APT41,attack-pattern--5502c4e9-24ef-4d5f-8ee9-9e906c2f82c4,T1595.002,Vulnerability Scanning,reconnaissance,PRE
Lazarus Group,attack-pattern--be055942-6e63-49d7-9fa1-9cb7d8a8f3f4,T1102.002,Bidirectional Communication,command-and-control,"ESXi, Linux, macOS, Windows"
APT28,attack-pattern--5502c4e9-24ef-4d5f-8ee9-9e906c2f82c4,T1595.002,Vulnerability Scanning,reconnaissance,PRE
APT28,attack-pattern--bc0f5e80-91c0-4e04-9fbb-e4e332c85dae,T1546.015,Component Object Model Hijacking,privilege-escalation,Windows
