id,name,aliases
intrusion-set--e6db1e55-b199-4b6b-8633-989345ee45e0,Moonstone Sleet,"Moonstone Sleet, Storm-1789"
intrusion-set--94873029-f950-4268-9cfd-5032e15cb182,TA551,"TA551, GOLD CABIN, Shathak"
intrusion-set--a0cb9370-e39b-44d5-9f50-ef78e412b973,Axiom,"Axiom, Group 72"
intrusion-set--8a831aaa-f3e0-47a3-bed8-a9ced744dd12,Dark Caracal,Dark Caracal
intrusion-set--fed4f0a2-4347-4530-b0f5-6dfd49b29172,Nomadic Octopus,"Nomadic Octopus, DustSquad"
intrusion-set--c47f937f-1022-4f42-8525-e7a4779a14cb,APT12,"APT12, IXESHE, DynCalc, Numbered Panda, DNSCALC"
intrusion-set--0bbdf25b-30ff-4894-a1cd-49260d0dd2d9,APT3,"APT3, Gothic Panda, Pirpi, UPS Team, Buckeye, Threat Group-0110, TG-0110"
intrusion-set--5ce5392a-3a6c-4e07-9df3-9b6a9159ac45,Putter Panda,"Putter Panda, APT2, MSUpdater"
intrusion-set--bfc5ddb3-4dfb-4278-8928-020e1b3feddd,Metador,Metador
intrusion-set--62a64fd3-aaf7-4d09-a375-d6f8bb118481,TA459,TA459
intrusion-set--4283ae19-69c7-4347-a35e-b56f08eb660b,ZIRCONIUM,"ZIRCONIUM, APT31, Violet Typhoon"
intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,APT1,"APT1, Comment Crew, Comment Group, Comment Panda"
intrusion-set--2a158b0a-7ef8-43cb-9985-bf34d1e12050,Naikon,Naikon
intrusion-set--ae41895a-243f-4a65-b99b-d85022326c31,Dust Storm,Dust Storm
intrusion-set--d1acfbb3-647b-4723-9154-800ec119006e,Sowbug,Sowbug
intrusion-set--88489675-d216-4884-a98f-49a89fcc1643,Mofang,Mofang
intrusion-set--38863958-a201-4ce1-9dbe-539b0b6804e0,Machete,"Machete, APT-C-43, El Machete"
intrusion-set--85403903-15e0-4f9f-9be4-a259ecad4022,FIN5,FIN5
intrusion-set--75a07184-a7e5-4222-95a1-a04dbc96a29c,Winter Vivern,"Winter Vivern, TA473, UAC-0114"
intrusion-set--03be849d-b5a2-4766-9dda-48976bae5710,SideCopy,SideCopy
intrusion-set--fbd29c89-18ba-4c2d-b792-51c0adee049f,APT33,"APT33, HOLMIUM, Elfin, Peach Sandstorm"
